surface_name	site_name	species_name	formation_energy	frequencies	reference
Rh	111	CH2COOH	-2.597	[3673.841664, 3110.355504, 3014.129371, 1528.612949, 1431.567086, 1327.721314, 1176.565308, 1056.903481, 979.098293, 896.369755, 698.136981, 661.114661, 607.421769, 580.370727, 461.563095, 328.212707, 221.033078, 121.228456, 91.290956, 82.043998, 31.703525]	Input File Tutorial.
Rh	111	CH2O	-0.958	[3037.230573, 2951.022767, 1441.501577, 1150.13742, 1107.756825, 907.898499, 645.726622, 470.89858, 334.363065, 239.138435, 191.61749, 127.56532]	Input File Tutorial.
Rh	111	CH2O-H	-0.446	[3028.825683, 2945.004603, 1428.718514, 1155.791902, 1113.279511, 1056.109806, 901.422718, 630.248348, 553.561987, 448.626636, 322.029236, 256.155512, 168.547212, 111.625098]	Input File Tutorial.
Rh	111	CH2O-OH	-3.046	[3678.288188, 3055.707623, 2965.177604, 1539.862827, 1408.214607, 1201.467228, 1110.18924, 780.184235, 736.455741, 570.539936, 377.822784, 314.121486, 228.607336, 179.079628, 136.328708, 106.302253, 100]	Input File Tutorial.
Rh	111	CH2OH	-1.316	[3645.438491, 3091.540105, 3002.088565, 1422.533028, 1307.627867, 1144.075456, 1074.676373, 816.647796, 655.183074, 525.966904, 491.277687, 260.513631, 128.43835, 120.096694, 75.988059]	Input File Tutorial.
Rh	111	CH2OO	-2.966	[2947.40222, 2887.692375, 1455.409001, 1337.233923, 1191.826816, 1061.038529, 1001.377771, 824.331324, 588.767592, 400.753532, 341.502017, 271.467479, 146.535237, 137.253332, 67.583109]	Input File Tutorial.
Rh	111	CH2OO-H	-2.726	[2976.907271, 2922.787785, 1456.010843, 1340.966994, 1203.07373, 1067.797505, 1040.094847, 952.876787, 845.607481, 599.112528, 425.760252, 349.098374, 335.28099, 273.126076, 211.143158, 138.67235, 104.997861]	Input File Tutorial.
Rh	111	CH2OOH	-3.654	[3664.403956, 3039.020266, 2972.58188, 1473.929993, 1375.569719, 1312.660064, 1217.62487, 1027.734706, 1015.014379, 808.723156, 551.39816, 500.037733, 318.627456, 265.404146, 194.871069, 133.358482, 109.370177, 101.842093]	Input File Tutorial.
Rh	111	CH3	0.704	[3083.929071, 3072.227178, 2974.904647, 1420.235887, 1415.506369, 1148.630669, 678.772131, 670.921487, 447.094302, 104.151939, 96.179208, 56.181419]	Input File Tutorial.
Rh	111	CH3-CH2O	1.0868094	[3108.349834, 3073.924522, 3009.609857, 3001.754394, 2901.464868, 1466.150236, 1435.714116, 1394.587665, 1286.26493, 1239.401195, 1168.247145, 1005.95626, 840.689755, 719.031481, 608.750228, 408.156268, 288.352821, 285.103096, 190.666385, 126.939484, 111.649805, 100, 86.678185]	Input File Tutorial.
Rh	111	CH3-CH2OH	1.3632388	[3667.353005, 3095.792429, 3036.620252, 2999.298731, 2819.761557, 2332.762908, 1438.838449, 1398.190529, 1346.354195, 1296.774038, 1267.563283, 1253.021981, 1065.083434, 961.080467, 846.734652, 805.079282, 734.405191, 421.634938, 381.051246, 328.483394, 297.557282, 227.994672, 175.634316, 155.679074, 128.909162, 109.801036, 103.698061, 91.430525, 87.890457]	Input File Tutorial.
Rh	111	CH3-CHO	1.1551272	[3122.01757, 3046.639788, 2925.582932, 2920.167362, 1421.594885, 1407.32475, 1272.539327, 1254.559899, 1203.282431, 941.604349, 817.374847, 674.966336, 524.678487, 390.469688, 323.346708, 317.429699, 167.201852, 132.171874, 91.231505, 86.542882]	Input File Tutorial.
Rh	111	CH3-CHOH	0.896282	[3476.977232, 3117.631197, 3058.004681, 3036.822274, 2936.209545, 1432.506108, 1404.683482, 1377.692417, 1206.388377, 1189.362417, 1050.607073, 1005.235332, 828.475313, 723.998954, 507.55537, 442.662535, 370.288779, 325.045085, 239.014281, 132.441353, 105.037738, 81.735948, 16.896564]	Input File Tutorial.
Rh	111	CH3-CHOO	-1.04	[3137.010816, 3038.205797, 2957.348151, 2508.180929, 1424.593339, 1335.701852, 1313.246765, 1191.255328, 1161.973788, 1137.52556, 1036.756156, 724.356691, 694.426445, 653.477312, 438.261362, 389.625362, 372.774491, 295.443065, 236.415596, 212.403834, 128.973804, 107.651385, 89.072912]	Input File Tutorial.
